distance_from_home,distance_from_last_transaction,ratio_to_median_purchase_price,repeat_retailer,used_chip,used_pin_number,online_order,fraud
2.739788062,0.110516566,2.047723538,1,1,0,1,0
11.81368625,11.49115295,0.698425513,1,0,0,1,0
147.083349,0.176863371,3.297020359,1,1,0,1,0
12.16170875,0.091005404,0.228820435,1,0,1,1,0
0.997719425,0.119868927,1.759823905,0,1,0,0,0
4.586681776,1.239041607,2.621752076,1,0,0,1,0
0.895059711,0.044624846,0.479422477,0,1,1,1,0
14.93539647,0.329377629,1.370317381,1,1,0,0,0
22.63027624,10.84823086,0.580389616,1,0,0,0,0
3.821601081,0.812371531,0.246896225,1,0,0,1,0
7.6993757,0.048551909,0.432563901,1,0,0,1,0
4.355466293,0.552270735,1.133831852,1,1,1,0,0
3.572888393,0.408412332,4.590155454,1,1,0,1,1
8.391721571,0.67646354,2.649759862,1,1,1,0,0
21.71028844,0.654661737,0.789738473,1,1,0,1,0
14.19499872,0.075491644,0.873939982,1,1,0,0,0
16.62198736,1.068942259,1.614536901,1,0,0,1,0
12.21973052,0.15191958,1.676914815,1,0,0,1,0
11.81368625,11.49115295,0.698425513,1,0,0,1,0
3.903116112,3.293410984,0.5630222,1,0,0,1,0
2.748047102,0.491329941,0.979110288,1,0,1,1,0
55.90779679,1.472392577,0.915979885,1,0,0,0,0
49.46022457,7.039203706,1.037456623,1,1,1,0,0
3.503345262,4.662929569,3.267239559,1,1,0,0,0
18.67390081,10.44566509,3.647999315,1,0,0,1,0
15.2990018,0.434635055,0.46322868,1,1,0,1,0
6.16567268,83.55771572,1.382611224,1,1,0,1,0
7.930876065,29.82831525,0.123241858,1,0,0,1,0
8.377760038,0.123717673,1.453230404,1,0,0,0,0
3.234149723,2.553278524,0.630786402,1,0,1,0,0
8.873457164,1.749033389,0.348992334,1,0,0,1,0
0.566604497,2.992004227,1.274469334,0,0,0,0,0
98.56891137,0.95205893,1.828410752,1,1,0,1,0
2.218872721,0.565173642,0.350293552,1,0,0,1,0
18.30921417,0.212112937,0.913287383,1,1,0,1,0
2.721461764,0.38305367,0.267042418,1,0,0,0,0
6.645649861,0.700114703,0.723931484,1,1,0,1,0
19.25076899,8.775244111,1.058655272,1,1,0,1,0
2.564231709,4.612688441,0.252469307,1,0,0,0,0
15.54495032,0.103209409,0.646331381,1,0,0,1,0
4.067471675,0.027787098,0.81311732,1,0,0,0,0
3.5745969,0.191290692,0.305436688,1,1,0,0,0
8.182894589,0.482915748,2.759500214,1,1,0,0,0
3.271863703,0.51159996,3.03951067,1,1,0,1,0
49.23826943,1.041545668,1.653663187,1,0,0,0,0
7.094172021,0.377138309,2.149936879,1,0,0,1,0
8.672035926,6.658550092,0.69827949,1,0,0,0,0
7.997358998,2.221658662,4.750315204,1,0,0,1,1
77.18442239,2.030019214,0.252382801,1,1,0,1,0
1.475848423,1.935153267,0.381348512,0,1,1,1,0
